import time: self [us] | cumulative | imported package
import time:       245 |        245 | winreg
import time:       374 |        374 |   _io
import time:        86 |         86 |   marshal
import time:       339 |        339 |   nt
import time:      1183 |       1981 | _frozen_importlib_external
import time:       143 |        143 |   time
import time:       473 |        616 | zipimport
import time:       105 |        105 |     _codecs
import time:      1035 |       1140 |   codecs
import time:      1420 |       1420 |   encodings.aliases
import time:      2633 |       5192 | encodings
import time:       845 |        845 | encodings.utf_8
import time:       857 |        857 | encodings.cp1252
import time:       101 |        101 | _signal
import time:        71 |         71 |     _abc
import time:       338 |        408 |   abc
import time:       331 |        739 | io
import time:       134 |        134 |       _stat
import time:       211 |        344 |     stat
import time:      1651 |       1651 |     _collections_abc
import time:       200 |        200 |       genericpath
import time:       200 |        200 |       _winapi
import time:       488 |        887 |     ntpath
import time:      1188 |       4068 |   os
import time:       397 |        397 |   _sitebuiltins
import time:       191 |        191 |   errno
import time:       808 |        808 |   encodings.utf_8_sig
import time:      1919 |       1919 |   _distutils_hack
import time:       323 |        323 |   sitecustomize
import time:      3768 |      11472 | site
import time:      1113 |       1113 | linecache
import time:       912 |        912 |   importlib
import time:      1027 |       1027 |     warnings
import time:       894 |        894 |     numpy.version
import time:       580 |        580 |     numpy._expired_attrs_2_0
import time:       280 |        280 |             itertools
import time:      1071 |       1071 |             keyword
import time:       171 |        171 |               _operator
import time:      1987 |       2157 |             operator
import time:      1021 |       1021 |             reprlib
import time:       164 |        164 |             _collections
import time:      2189 |       6879 |           collections
import time:       129 |        129 |           _functools
import time:      2002 |       9010 |         functools
import time:       943 |        943 |         types
import time:      3654 |      13606 |       enum
import time:      1286 |       1286 |         numpy._utils._convertions
import time:       799 |       2085 |       numpy._utils
import time:      2433 |      18123 |     numpy._globals
import time:       165 |        165 |       numpy._distributor_init_local
import time:       812 |        977 |     numpy._distributor_init
import time:       293 |        293 |                 _datetime
import time:       829 |       1121 |               datetime
import time:       161 |        161 |               math
import time:       860 |        860 |               numpy.exceptions
import time:      1178 |       1178 |               numpy._core._exceptions
import time:       678 |        678 |                   _contextvars
import time:       709 |       1387 |                 contextvars
import time:       587 |       1973 |               numpy._core.printoptions
import time:       711 |        711 |               numpy.dtypes
import time:     12173 |      18175 |             numpy._core._multiarray_umath
import time:       161 |        161 |                       _sre
import time:      1336 |       1336 |                         re._constants
import time:      1200 |       2536 |                       re._parser
import time:       814 |        814 |                       re._casefix
import time:      1289 |       4799 |                     re._compiler
import time:       799 |        799 |                     copyreg
import time:      1622 |       7219 |                   re
import time:      2644 |       2644 |                   _ast
import time:      1650 |       1650 |                   contextlib
import time:      2579 |      14090 |                 ast
import time:       100 |        100 |                     _opcode
import time:       808 |        808 |                     _opcode_metadata
import time:      1008 |       1915 |                   opcode
import time:      2155 |       4070 |                 dis
import time:       156 |        156 |                 importlib.machinery
import time:       814 |        814 |                   token
import time:        93 |         93 |                   _tokenize
import time:      2331 |       3238 |                 tokenize
import time:       861 |        861 |                   _weakrefset
import time:      1256 |       2117 |                 weakref
import time:      5114 |      28783 |               inspect
import time:       815 |        815 |               numpy._utils._inspect
import time:       909 |      30506 |             numpy._core.overrides
import time:      4709 |      53389 |           numpy._core.multiarray
import time:       764 |        764 |           numpy._core.umath
import time:      1155 |       1155 |             numbers
import time:       791 |        791 |             numpy._core._dtype
import time:       622 |        622 |             numpy._core._string_helpers
import time:      1076 |       1076 |             numpy._core._type_aliases
import time:      1063 |       4706 |           numpy._core.numerictypes
import time:       190 |        190 |                         _struct
import time:       680 |        870 |                       struct
import time:       935 |        935 |                       _compat_pickle
import time:       215 |        215 |                       _pickle
import time:      2338 |       4356 |                     pickle
import time:       733 |       5088 |                   numpy._core._methods
import time:      1833 |       6921 |                 numpy._core.fromnumeric
import time:       988 |       7908 |               numpy._core.shape_base
import time:       693 |        693 |               numpy._core._ufunc_config
import time:       675 |        675 |               numpy._core._asarray
import time:      1432 |       1432 |               numpy._core.arrayprint
import time:      1871 |      12577 |             numpy._core.numeric
import time:      1015 |      13592 |           numpy._core.einsumfunc
import time:       864 |        864 |           numpy._core.function_base
import time:       969 |        969 |           numpy._core.getlimits
import time:       772 |        772 |           numpy._core.memmap
import time:      1283 |       1283 |           numpy._core.records
import time:      2109 |       2109 |             textwrap
import time:     10364 |      12473 |           numpy._core._add_newdocs
import time:      2139 |       2139 |           numpy._core._add_newdocs_scalars
import time:       979 |        979 |           numpy._core._dtype_ctypes
import time:      8617 |       8617 |               _ctypes
import time:      1200 |       1200 |               ctypes._endian
import time:      2155 |      11971 |             ctypes
import time:      1853 |      13824 |           numpy._core._internal
import time:       876 |        876 |           numpy._pytesttester
import time:      1960 |     108582 |         numpy._core
import time:        97 |     108679 |       numpy._core._multiarray_umath
import time:      1263 |     109941 |     numpy.__config__
import time:       127 |        127 |           _typing
import time:     10509 |      10635 |         typing
import time:       813 |        813 |                       numpy._typing._nbit_base
import time:       812 |        812 |                       numpy._typing._nested_sequence
import time:       971 |        971 |                       numpy._typing._shape
import time:      5199 |       7794 |                     numpy._typing._array_like
import time:      3426 |       3426 |                     numpy._typing._char_codes
import time:      4886 |       4886 |                     numpy._typing._dtype_like
import time:       598 |        598 |                     numpy._typing._nbit
import time:       619 |        619 |                     numpy._typing._scalars
import time:       566 |        566 |                     numpy._typing._ufunc
import time:      1164 |      19052 |                   numpy._typing
import time:      1188 |       1188 |                     numpy.lib._stride_tricks_impl
import time:      1534 |       2721 |                   numpy.lib._twodim_base_impl
import time:       805 |        805 |                     numpy.lib._array_utils_impl
import time:       809 |       1614 |                   numpy.lib.array_utils
import time:      1449 |       1449 |                   numpy.linalg._umath_linalg
import time:      3830 |      28664 |                 numpy.linalg._linalg
import time:       773 |      29437 |               numpy.linalg
import time:      1546 |      30982 |             numpy.matrixlib.defmatrix
import time:       964 |      31945 |           numpy.matrixlib
import time:      1170 |       1170 |             numpy.lib._histograms_impl
import time:      2996 |       4165 |           numpy.lib._function_base_impl
import time:      1375 |      37485 |         numpy.lib._index_tricks_impl
import time:      1376 |      49496 |       numpy.lib._arraypad_impl
import time:      1844 |       1844 |       numpy.lib._arraysetops_impl
import time:       671 |        671 |       numpy.lib._arrayterator_impl
import time:      1174 |       1174 |       numpy.lib._nanfunctions_impl
import time:      2606 |       2606 |                 _wmi
import time:      2302 |       4908 |               platform
import time:      1766 |       6673 |             numpy.lib._utils_impl
import time:      1154 |       7827 |           numpy.lib._format_impl
import time:       915 |       8741 |         numpy.lib.format
import time:      1197 |       1197 |         numpy.lib._datasource
import time:      1444 |       1444 |         numpy.lib._iotools
import time:      1630 |      13011 |       numpy.lib._npyio_impl
import time:       873 |        873 |           numpy.lib._ufunclike_impl
import time:      1084 |       1957 |         numpy.lib._type_check_impl
import time:      1677 |       3634 |       numpy.lib._polynomial_impl
import time:      1355 |       1355 |       numpy.lib._shape_base_impl
import time:      1009 |       1009 |       numpy.lib._version
import time:       761 |        761 |       numpy.lib.introspect
import time:       956 |        956 |       numpy.lib.mixins
import time:       714 |        714 |       numpy.lib.npyio
import time:      1304 |       1304 |         numpy.lib._scimath_impl
import time:       755 |       2058 |       numpy.lib.scimath
import time:       726 |        726 |       numpy.lib.stride_tricks
import time:      1640 |      79042 |     numpy.lib
import time:       708 |        708 |     numpy._array_api_info
import time:      3104 |     214394 |   numpy
import time:       959 |        959 |   pyqtgraph.colors
import time:       128 |        128 |           _locale
import time:      1993 |       2121 |         locale
import time:      1177 |       1177 |         signal
import time:      2241 |       2241 |         threading
import time:       352 |        352 |         fcntl
import time:       110 |        110 |         msvcrt
import time:      1810 |       7808 |       subprocess
import time:       327 |        327 |                     posix
import time:       294 |        294 |                     posix
import time:       322 |        942 |                   posixpath
import time:       796 |       1738 |                 fnmatch
import time:      1372 |       3109 |               glob
import time:      1477 |       4586 |             pathlib._abc
import time:       330 |        330 |               pwd
import time:       301 |        301 |               grp
import time:      1364 |       1995 |             pathlib._local
import time:       770 |       7350 |           pathlib
import time:       176 |        176 |               zlib
import time:      1598 |       1598 |                 _compression
import time:      1821 |       1821 |                 _bz2
import time:      1168 |       4587 |               bz2
import time:      1846 |       1846 |                 _lzma
import time:      1546 |       3391 |               lzma
import time:      1894 |      10046 |             shutil
import time:       139 |        139 |                 _bisect
import time:      1136 |       1274 |               bisect
import time:       123 |        123 |               _random
import time:      1807 |       3202 |             random
import time:      1335 |      14583 |           tempfile
import time:      1632 |       1632 |           importlib.resources.abc
import time:      1641 |      25205 |         importlib.resources._common
import time:       982 |        982 |         importlib.resources._functional
import time:      1049 |      27236 |       importlib.resources
import time:       702 |        702 |         PyQt6
import time:        83 |        785 |       PyQt6.QtCore
import time:       198 |        198 |               binascii
import time:       898 |        898 |                 importlib._abc
import time:       419 |       1316 |               importlib.util
import time:      1116 |       1116 |                 zipfile._path.glob
import time:      2359 |       3475 |               zipfile._path
import time:      2850 |       7837 |             zipfile
import time:       971 |        971 |             base64
import time:       784 |        784 |                 __future__
import time:       911 |       1694 |               _colorize
import time:      1893 |       3587 |             traceback
import time:       930 |        930 |               encodings.cp437
import time:       282 |        282 |               shibokensupport
import time:       290 |        290 |               shibokensupport.signature
import time:      2028 |       2028 |                 shibokensupport.feature
import time:      8154 |       8154 |                 shibokensupport.signature.mapping
import time:      2482 |       2482 |                 shibokensupport.signature.errorhandler
import time:       378 |        378 |                       shibokensupport.signature.lib
