name,n,num_ellipsoids,max_ellipsoids,num_steps,sdf_mode,superfit,local_fit,lr_init,reps,t_sdf,t_fit,total_time,eval_iou,surf_mae,n_ellipsoids,balanced_score,error
baseline,128,60,120,600,4,True,False,0.01,1,0.046,6.187,6.233,0.923967,0.003724,63,0.2806,
n96,96,60,120,600,4,True,False,0.01,1,0.015,6.209,6.225,0.929543,0.003333,64,0.2569,
n160,160,60,120,600,4,True,False,0.01,1,0.059,6.228,6.287,0.925528,0.003578,64,0.2763,
n192,192,60,120,600,4,True,False,0.01,2,0.181,5.624,5.805,0.928926,0.00357,64,0.2421,
steps300,128,60,120,300,4,True,False,0.01,1,0.046,2.962,3.008,0.840049,0.006851,65,0.5,
steps1000,128,60,120,1000,4,True,False,0.01,1,0.046,9.261,9.306,0.922477,0.003171,60,0.4136,
steps1500,128,60,120,1500,4,True,False,0.01,1,0.046,13.022,13.068,0.884738,0.00425,50,0.7273,
fix40_nosf,128,40,40,600,4,False,False,0.01,2,0.046,3.722,3.768,0.902568,0.004549,40,0.2688,
fix60_nosf,128,60,60,600,4,False,False,0.01,2,0.046,5.149,5.195,0.922727,0.003868,60,0.243,
fix90_nosf,128,90,90,600,4,False,False,0.01,1,0.046,7.449,7.495,0.929548,0.003522,90,0.3092,
sf_max80,128,60,80,600,4,True,False,0.01,1,0.046,6.159,6.205,0.926799,0.003599,64,0.2676,
sf_max180,128,60,180,600,4,True,False,0.01,1,0.046,6.182,6.228,0.928483,0.003629,64,0.2614,
mode0_quilez,128,60,120,600,0,True,False,0.01,1,0.046,6.176,6.222,0.924762,0.00376,64,0.2768,
mode1_scmin,128,60,120,600,1,True,False,0.01,1,0.046,6.093,6.139,0.922314,0.003783,63,0.2837,
mode2_scmean,128,60,120,600,2,True,False,0.01,1,0.046,6.175,6.22,0.925497,0.003765,64,0.2737,
localfit_on,128,60,120,600,4,True,True,0.01,1,0.046,15.085,15.131,0.959116,0.002182,122,0.5,
lr_low,128,60,120,600,4,True,False,0.005,1,0.046,6.33,6.375,0.880016,0.005629,69,0.471,
lr_high,128,60,120,600,4,True,False,0.02,2,0.046,6.096,6.141,0.934738,0.003125,61,0.2316,
F_n128_s800_sf120,128,60,120,800,4,True,False,0.01,1,0.046,8.21,8.256,0.924528,0.003448,62,0.3617,
F_n160_s800_sf120,160,60,120,800,4,True,False,0.01,1,0.059,7.952,8.011,0.933802,0.003122,66,0.3126,
F_n128_s1000_sf150,128,60,150,1000,4,True,False,0.01,1,0.046,10.494,10.54,0.922919,0.003343,68,0.4627,
F_n128_s400_sf90,128,60,90,400,4,True,False,0.01,1,0.046,3.968,4.014,0.89543,0.005373,62,0.3089,
F_n96_s800_sf120,96,60,120,800,4,True,False,0.01,1,0.015,7.896,7.911,0.933333,0.003345,66,0.3105,
